origin_iso,origin_name,originregion_name,destination_iso,destination_name,destinationregion_name,countryflow_2001,countryflow_2002,countryflow_2003,countryflow_2004,countryflow_2005,countryflow_2006,countryflow_2007,countryflow_2008,countryflow_2009,countryflow_2010,countryflow_2011,countryflow_2012,countryflow_2013,countryflow_2014,countryflow_2015
AE,United Arab Emirates,Middle East,CH,Switzerland,Eurocontrol,0,0,0,0,0,0,0,0,0,0,1828,2023,2024,2218,2355
AE,United Arab Emirates,Middle East,DE,Germany,Eurocontrol,3972,4095,4969,5529,6069,7261,7048,7440,7136,7464,8037,8847,8317,8667,9219
AE,United Arab Emirates,Middle East,FR,France,Eurocontrol,1975,2294,2352,1865,2229,2623,2762,2624,2718,2817,2900,2970,3344,3491,3527
AE,United Arab Emirates,Middle East,GB,United Kingdom,Eurocontrol,5684,5660,6572,8248,9203,9434,9611,10036,9846,9430,9922,10221,11002,11141,11516
AE,United Arab Emirates,Middle East,IT,Italy,Eurocontrol,0,0,0,0,0,0,0,0,2019,2394,2528,2923,3329,3457,4864
AE,United Arab Emirates,Middle East,LB,Lebanon,Middle East,0,0,0,0,0,0,0,0,0,0,0,0,2749,3262,3639
AE,United Arab Emirates,Middle East,NL,Netherlands,Eurocontrol,0,0,2073,2453,2513,2580,2345,2110,0,2639,2877,2317,2595,2651,2710
AE,United Arab Emirates,Middle East,RU,Russia,Asia,0,0,0,0,0,0,0,0,0,0,1992,0,0,2187,0
AE,United Arab Emirates,Middle East,TR,Turkey,Eurocontrol,0,0,0,0,0,0,1998,2455,2709,2970,2989,2918,3516,3585,3348
AE,United Arab Emirates,Middle East,UA,Ukraine,Eurocontrol,0,0,0,0,0,0,0,0,0,0,0,0,2073,0,0
AE,United Arab Emirates,Middle East,US,United States,America,0,0,0,0,0,0,0,0,2582,3019,3156,3243,3690,4666,5982
AL,Albania,Eurocontrol,IT,Italy,Eurocontrol,1837,0,1961,2296,3662,3635,4099,4038,4560,5208,6013,5747,5563,4651,5250
AM,Armenia,Eurocontrol,RU,Russia,Asia,0,0,0,0,0,0,5292,5821,5564,6237,6006,6950,6291,7472,6224
AT,Austria,Eurocontrol,AT,Austria,Eurocontrol,26609,27496,26917,27130,28439,28310,29742,30166,28798,28274,23785,23752,22753,21149,19137
AT,Austria,Eurocontrol,BE,Belgium,Eurocontrol,3745,4092,3717,3743,3718,3923,4145,3954,3343,3151,2945,2587,2731,2704,2692
AT,Austria,Eurocontrol,BG,Bulgaria,Eurocontrol,0,0,0,0,2006,2089,2534,2968,2439,2767,2782,3186,2457,2328,2272
AT,Austria,Eurocontrol,CH,Switzerland,Eurocontrol,11831,11279,10825,11831,10676,8593,9136,10018,9429,9318,9792,9452,9892,9288,9427
AT,Austria,Eurocontrol,CZ,Czechia,Eurocontrol,2519,2630,2572,3060,3455,3978,4056,3483,2970,3021,3209,2716,2542,2429,2515
AT,Austria,Eurocontrol,DE,Germany,Eurocontrol,33590,33059,38609,41754,42811,44359,48850,51061,48160,48111,46996,43764,41402,42308,41965
AT,Austria,Eurocontrol,DK,Denmark,Eurocontrol,1934,2092,2389,2264,2532,2241,2253,2351,1866,2228,2310,2410,2295,2162,0
AT,Austria,Eurocontrol,EG,Egypt,Middle East,0,0,0,0,0,0,0,1862,1835,1995,0,0,0,0,0
AT,Austria,Eurocontrol,ES,Spain,Eurocontrol,3503,3570,3727,4095,4327,4955,5341,5593,4530,4863,5704,5789,5244,5778,6025
AT,Austria,Eurocontrol,FR,France,Eurocontrol,6567,6488,6358,6356,8098,8079,8849,9084,7674,7826,7594,7656,6833,6679,6660
AT,Austria,Eurocontrol,GB,United Kingdom,Eurocontrol,6896,6755,7409,8660,8789,8538,8909,8640,7807,7280,7596,7307,6593,6984,7553
AT,Austria,Eurocontrol,GR,Greece,Eurocontrol,3979,3823,4048,3892,3816,4129,4124,3905,3331,3213,2890,2732,3231,3557,3979
AT,Austria,Eurocontrol,HR,Croatia,Eurocontrol,2379,2738,2770,3252,3563,3672,3816,3890,3525,3355,3273,3133,2930,3001,3013
AT,Austria,Eurocontrol,HU,Hungary,Eurocontrol,1877,2132,1873,2398,1931,1950,1865,1872,1833,1875,1838,1848,1871,1915,1828
AT,Austria,Eurocontrol,IT,Italy,Eurocontrol,7496,7864,8741,11039,10908,11378,12477,11904,9115,9571,9766,9080,8690,9344,9007
AT,Austria,Eurocontrol,NL,Netherlands,Eurocontrol,6016,5631,5444,4536,4120,3484,3756,4121,3732,3816,3961,3971,3908,3971,3966
AT,Austria,Eurocontrol,PL,Poland,Eurocontrol,2924,2656,2879,3206,3129,2949,3200,3965,3489,3351,3651,3468,3116,2745,2686
AT,Austria,Eurocontrol,RO,Romania,Eurocontrol,0,0,0,2138,2647,3248,3959,4574,4371,4668,4294,4657,3491,3434,3241
AT,Austria,Eurocontrol,RS,Serbia,Eurocontrol,0,0,0,1837,2177,2359,2666,2896,2764,3309,3429,3969,3290,3139,2948
AT,Austria,Eurocontrol,RU,Russia,Asia,0,1914,2150,2539,2864,3413,4475,5413,4767,5120,5601,5558,6040,5820,4180
AT,Austria,Eurocontrol,SE,Sweden,Eurocontrol,0,0,0,0,2037,2507,2759,2826,2683,2683,2805,2068,0,0,0
AT,Austria,Eurocontrol,SI,Slovenia,Eurocontrol,0,0,0,2124,2603,2083,2023,2287,2050,1978,0,1858,0,0,0
AT,Austria,Eurocontrol,TR,Turkey,Eurocontrol,3889,3816,3457,3988,4192,3626,3719,3879,3505,3949,4649,4649,5190,5300,5480
AT,Austria,Eurocontrol,UA,Ukraine,Eurocontrol,0,0,2040,2293,2678,3378,3797,4289,4029,3940,3850,3643,3511,2472,2372
AZ,Azerbaijan,Asia,AZ,Azerbaijan,Asia,0,0,0,0,0,0,2883,4324,4485,2451,3658,3593,3002,2169,0
AZ,Azerbaijan,Asia,TR,Turkey,Eurocontrol,0,0,0,0,0,0,0,1879,2090,2458,3099,3610,4461,4312,4424
BE,Belgium,Eurocontrol,AT,Austria,Eurocontrol,3803,4154,3775,3694,3603,3879,4082,3937,3374,3062,3014,2704,2813,2767,2794
BE,Belgium,Eurocontrol,BE,Belgium,Eurocontrol,4714,4349,5109,5525,4800,4566,4752,5967,6299,7060,7943,6238,6221,6268,5609
BE,Belgium,Eurocontrol,CH,Switzerland,Eurocontrol,6013,5763,5221,5564,5343,5234,5885,6130,5468,5756,6097,6022,5725,5710,6074
BE,Belgium,Eurocontrol,CZ,Czechia,Eurocontrol,0,0,0,2033,2173,2097,2582,2645,2556,2321,2493,2046,2032,2029,2317
BE,Belgium,Eurocontrol,DE,Germany,Eurocontrol,21338,17249,16519,16421,16534,17711,18397,18339,16486,14631,15474,14741,13771,13595,15080
BE,Belgium,Eurocontrol,DK,Denmark,Eurocontrol,5913,4924,4615,4440,4525,3773,4094,4070,3390,3567,3902,3722,3506,3420,3970
BE,Belgium,Eurocontrol,EG,Egypt,Middle East,0,0,0,0,0,0,0,1946,0,0,0,0,0,0,0
BE,Belgium,Eurocontrol,ES,Spain,Eurocontrol,16048,13530,14876,15409,16241,16772,16845,16117,14899,16399,17750,16528,17356,19645,20901
BE,Belgium,Eurocontrol,FI,Finland,Eurocontrol,0,0,2199,2202,0,2009,2084,1904,0,0,2141,0,0,0,0
BE,Belgium,Eurocontrol,FR,France,Eurocontrol,19307,14626,14757,13709,14223,14537,15399,15515,14339,14625,15028,15414,15330,15939,16141
BE,Belgium,Eurocontrol,GB,United Kingdom,Eurocontrol,31294,30016,23812,21631,21451,21251,22255,19291,16783,15712,15912,16140,14647,14250,14533
BE,Belgium,Eurocontrol,GR,Greece,Eurocontrol,3664,2970,3697,3802,3671,3654,3579,3308,3181,3118,3453,3050,2978,3583,3714
BE,Belgium,Eurocontrol,HU,Hungary,Eurocontrol,0,0,0,0,0,0,1880,0,0,1963,1837,2112,1993,1981,2140
BE,Belgium,Eurocontrol,IE,Ireland,Eurocontrol,2976,2988,3360,3080,2482,2285,1905,2018,1960,0,0,0,1997,1964,2370
BE,Belgium,Eurocontrol,IT,Italy,Eurocontrol,16582,16078,16272,14880,13799,14494,14676,14287,14161,15503,16053,15847,15573,16514,16311
BE,Belgium,Eurocontrol,MA,Morocco,Africa,0,0,0,1908,2314,2520,2954,3036,3290,3847,4341,4175,4541,4615,4390
BE,Belgium,Eurocontrol,NL,Netherlands,Eurocontrol,7200,5403,4887,4522,4092,4517,4221,3874,3372,3129,3359,3197,3056,2945,2935
BE,Belgium,Eurocontrol,NO,Norway,Eurocontrol,0,0,0,0,0,0,0,0,0,1875,1850,0,0,0,1838
BE,Belgium,Eurocontrol,PL,Poland,Eurocontrol,2331,0,0,2110,1976,2148,2577,2687,2728,2835,2829,2824,2506,3039,3858
BE,Belgium,Eurocontrol,PT,Portugal,Eurocontrol,3350,2259,2780,3172,3175,3269,3779,4262,3988,3948,3912,3640,3660,4735,5140
BE,Belgium,Eurocontrol,RO,Romania,Eurocontrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2233
