origin_iso,origin_name,originregion_name,destination_iso,destination_name,destinationregion_name,countryflow_2001,countryflow_2002,countryflow_2003,countryflow_2004,countryflow_2005,countryflow_2006,countryflow_2007,countryflow_2008,countryflow_2009,countryflow_2010,countryflow_2011,countryflow_2012,countryflow_2013,countryflow_2014,countryflow_2015
AL,Albania,ESRA East,AL,Albania,ESRA East,0,0,0,0,0,3,1,0,1,2,15,1,3,2,10
AL,Albania,ESRA East,AM,Armenia,Other Europe,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
AL,Albania,ESRA East,AT,Austria,ESRA North-West,370,365,498,781,963,820,754,725,620,693,693,762,733,672,683
AL,Albania,ESRA East,BA,Bosnia & Herzegovina,ESRA East,4,0,3,7,4,8,6,6,10,16,24,11,13,6,2
AL,Albania,ESRA East,BE,Belgium,ESRA North-West,4,2,1,4,4,2,46,2,36,71,176,193,162,145,232
AL,Albania,ESRA East,BG,Bulgaria,ESRA East,198,267,181,133,121,84,73,272,310,268,31,16,9,7,14
AL,Albania,ESRA East,CH,Switzerland,ESRA North-West,444,485,92,68,72,9,4,24,71,66,33,13,15,11,10
AL,Albania,ESRA East,CY,Cyprus,ESRA Mediterranean,3,0,0,0,2,1,1,7,3,7,2,6,1,3,2
AL,Albania,ESRA East,CZ,Czechia,ESRA East,0,1,1,0,4,5,5,8,6,3,7,66,3,4,28
AL,Albania,ESRA East,DE,Germany,ESRA North-West,189,149,182,159,163,156,597,762,735,679,624,386,405,520,604
AL,Albania,ESRA East,DK,Denmark,ESRA North-West,1,2,0,2,1,0,0,0,3,0,0,2,3,2,2
AL,Albania,ESRA East,EE,Estonia,Other Europe,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
AL,Albania,ESRA East,ES,Spain,ESRA Mediterranean,0,0,0,4,1,1,7,2,11,5,34,15,11,4,2
AL,Albania,ESRA East,FI,Finland,ESRA North-West,2,0,0,0,0,1,0,0,0,0,0,1,1,1,6
AL,Albania,ESRA East,FR,France,ESRA North-West,14,12,14,15,17,14,19,20,29,23,62,37,70,102,261
AL,Albania,ESRA East,GB,United Kingdom,ESRA North-West,35,12,8,3,1,279,391,342,393,429,487,431,437,255,304
AL,Albania,ESRA East,GE,Georgia,Other Europe,0,0,4,3,5,5,36,0,2,0,0,1,0,3,2
AL,Albania,ESRA East,GR,Greece,ESRA Mediterranean,531,436,659,1025,1059,1099,978,1045,1003,864,1372,1324,967,770,872
AL,Albania,ESRA East,HR,Croatia,ESRA East,4,4,14,7,12,31,24,35,26,25,25,19,18,12,13
AL,Albania,ESRA East,HU,Hungary,ESRA East,432,541,586,597,621,656,633,437,474,495,536,48,7,12,6
AL,Albania,ESRA East,IE,Ireland,ESRA North-West,1,1,3,0,2,0,15,1,7,4,1,2,1,0,0
AL,Albania,ESRA East,IT,Italy,ESRA Mediterranean,1837,1813,1961,2296,3662,3635,4099,4038,4560,5208,6013,5747,5563,4651,5250
AL,Albania,ESRA East,LT,Lithuania,Other Europe,0,3,0,0,0,3,1,0,0,1,3,0,0,0,1
AL,Albania,ESRA East,LU,Luxembourg,ESRA North-West,3,1,0,0,2,4,1,3,1,6,1,2,2,4,2
AL,Albania,ESRA East,LV,Latvia,Other Europe,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1
AL,Albania,ESRA East,MD,Moldova,ESRA East,0,0,2,1,1,0,0,1,0,3,0,1,1,0,3
AL,Albania,ESRA East,MK,Macedonia,ESRA East,8,14,16,10,11,6,8,131,50,10,11,13,16,6,13
AL,Albania,ESRA East,MT,Malta,ESRA Mediterranean,3,2,0,2,1,2,12,4,1,1,0,0,2,3,1
AL,Albania,ESRA East,NL,Netherlands,ESRA North-West,1,1,3,1,6,5,10,4,7,5,5,6,16,2,1
AL,Albania,ESRA East,NO,Norway,ESRA North-West,0,2,0,1,1,0,1,0,1,0,1,1,2,1,4
AL,Albania,ESRA East,PL,Poland,ESRA East,0,0,1,2,1,4,1,0,4,0,5,1,0,1,21
AL,Albania,ESRA East,PT,Portugal,ESRA Mediterranean,1,0,0,0,0,1,0,0,1,0,1,1,0,0,3
AL,Albania,ESRA East,RO,Romania,ESRA East,10,8,4,11,7,12,7,6,15,19,17,10,13,9,3
AL,Albania,ESRA East,RS,Serbia,ESRA East,554,621,634,624,673,579,537,582,584,318,105,95,54,83,381
AL,Albania,ESRA East,SE,Sweden,ESRA North-West,0,1,2,1,1,2,0,2,0,5,1,2,3,3,0
AL,Albania,ESRA East,SI,Slovenia,ESRA East,202,227,232,185,15,195,316,461,473,444,401,363,469,512,511
AL,Albania,ESRA East,SK,Slovakia,ESRA East,0,0,0,2,1,0,2,7,2,8,3,2,5,14,40
AL,Albania,ESRA East,TR,Turkey,ESRA Mediterranean,534,492,546,582,632,613,621,755,709,710,709,591,872,1070,1063
AL,Albania,ESRA East,UA,Ukraine,ESRA East,3,0,2,2,4,0,2,3,1,3,4,0,5,3,13
AM,Armenia,Other Europe,AL,Albania,ESRA East,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
AM,Armenia,Other Europe,AM,Armenia,Other Europe,0,0,0,0,0,2,12,4,5,14,11,13,7,9,5
AM,Armenia,Other Europe,AT,Austria,ESRA North-West,108,152,119,213,290,258,267,230,257,258,335,279,280,285,272
AM,Armenia,Other Europe,BA,Bosnia & Herzegovina,ESRA East,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
AM,Armenia,Other Europe,BE,Belgium,ESRA North-West,2,41,0,1,2,6,5,1,1,3,5,8,4,3,9
AM,Armenia,Other Europe,BG,Bulgaria,ESRA East,13,22,17,30,23,49,29,30,21,23,27,32,30,28,30
AM,Armenia,Other Europe,CH,Switzerland,ESRA North-West,81,4,1,0,0,6,2,8,109,102,16,2,4,3,7
AM,Armenia,Other Europe,CY,Cyprus,ESRA Mediterranean,71,16,2,2,1,4,5,6,14,32,42,37,8,12,15
AM,Armenia,Other Europe,CZ,Czechia,ESRA East,3,1,17,74,111,168,191,209,219,255,240,226,244,148,11
AM,Armenia,Other Europe,DE,Germany,ESRA North-West,112,74,103,101,192,184,352,328,164,137,80,27,29,33,11
AM,Armenia,Other Europe,DK,Denmark,ESRA North-West,0,0,0,1,0,0,1,0,8,4,1,1,2,0,1
AM,Armenia,Other Europe,EE,Estonia,Other Europe,0,1,0,2,0,0,0,2,1,1,0,0,4,1,2
AM,Armenia,Other Europe,ES,Spain,ESRA Mediterranean,0,0,1,0,0,0,2,3,2,17,19,12,1,16,11
AM,Armenia,Other Europe,FI,Finland,ESRA North-West,0,0,0,2,0,0,3,2,1,1,0,1,0,2,0
AM,Armenia,Other Europe,FR,France,ESRA North-West,110,111,144,131,144,222,268,287,279,268,319,279,173,275,187
AM,Armenia,Other Europe,GB,United Kingdom,ESRA North-West,7,5,71,149,251,261,209,206,210,208,373,292,6,6,4
AM,Armenia,Other Europe,GE,Georgia,Other Europe,0,0,0,0,0,6,193,114,832,717,212,44,42,42,197
AM,Armenia,Other Europe,GR,Greece,ESRA Mediterranean,87,68,60,56,65,111,96,112,87,88,83,74,18,68,120
AM,Armenia,Other Europe,HR,Croatia,ESRA East,0,1,0,0,0,1,5,5,3,2,1,0,2,2,1
AM,Armenia,Other Europe,HU,Hungary,ESRA East,2,2,0,3,0,1,2,2,2,4,2,2,2,2,1
AM,Armenia,Other Europe,IE,Ireland,ESRA North-West,0,0,0,0,2,0,1,0,0,1,5,2,0,1,0
AM,Armenia,Other Europe,IT,Italy,ESRA Mediterranean,8,9,3,6,4,5,14,18,76,166,131,148,134,108,13
