origin_iso,origin_name,origin_region_name,destination_iso,destination_name,destination_region_name,countryflow_2014,countryflow_2015
AL,Albania,ESRA East,AL,Albania,ESRA East,2,10
AL,Albania,ESRA East,AM,Armenia,Other Europe,0,2
AL,Albania,ESRA East,AT,Austria,ESRA North-West,672,683
AL,Albania,ESRA East,BA,Bosnia & Herzegovina,ESRA East,6,2
AL,Albania,ESRA East,BE,Belgium,ESRA North-West,145,232
AL,Albania,ESRA East,BG,Bulgaria,ESRA East,7,14
AL,Albania,ESRA East,CH,Switzerland,ESRA North-West,11,10
AL,Albania,ESRA East,CY,Cyprus,ESRA Mediterranean,3,2
AL,Albania,ESRA East,CZ,Czechia,ESRA East,4,28
AL,Albania,ESRA East,DE,Germany,ESRA North-West,520,604
AL,Albania,ESRA East,DK,Denmark,ESRA North-West,2,2
AL,Albania,ESRA East,ES,Spain,ESRA Mediterranean,4,2
AL,Albania,ESRA East,FI,Finland,ESRA North-West,1,6
AL,Albania,ESRA East,FR,France,ESRA North-West,102,261
AL,Albania,ESRA East,GB,United Kingdom,ESRA North-West,255,304
AL,Albania,ESRA East,GE,Georgia,Other Europe,3,2
AL,Albania,ESRA East,GR,Greece,ESRA Mediterranean,770,872
AL,Albania,ESRA East,HR,Croatia,ESRA East,12,13
AL,Albania,ESRA East,HU,Hungary,ESRA East,12,6
AL,Albania,ESRA East,IT,Italy,ESRA Mediterranean,4651,5250
AL,Albania,ESRA East,LT,Lithuania,Other Europe,0,1
AL,Albania,ESRA East,LU,Luxembourg,ESRA North-West,4,2
AL,Albania,ESRA East,LV,Latvia,Other Europe,0,1
AL,Albania,ESRA East,MD,Moldova,ESRA East,0,3
AL,Albania,ESRA East,MK,Macedonia,ESRA East,6,13
AL,Albania,ESRA East,MT,Malta,ESRA Mediterranean,3,1
AL,Albania,ESRA East,NL,Netherlands,ESRA North-West,2,1
AL,Albania,ESRA East,NO,Norway,ESRA North-West,1,4
AL,Albania,ESRA East,PL,Poland,ESRA East,1,21
AL,Albania,ESRA East,PT,Portugal,ESRA Mediterranean,0,3
AL,Albania,ESRA East,RO,Romania,ESRA East,9,3
AL,Albania,ESRA East,RS,Serbia,ESRA East,83,381
AL,Albania,ESRA East,SE,Sweden,ESRA North-West,3,0
AL,Albania,ESRA East,SI,Slovenia,ESRA East,512,511
AL,Albania,ESRA East,SK,Slovakia,ESRA East,14,40
AL,Albania,ESRA East,TR,Turkey,ESRA Mediterranean,1070,1063
AL,Albania,ESRA East,UA,Ukraine,ESRA East,3,13
AM,Armenia,Other Europe,AL,Albania,ESRA East,0,2
AM,Armenia,Other Europe,AM,Armenia,Other Europe,9,5
AM,Armenia,Other Europe,AT,Austria,ESRA North-West,285,272
AM,Armenia,Other Europe,BE,Belgium,ESRA North-West,3,9
AM,Armenia,Other Europe,BG,Bulgaria,ESRA East,28,30
AM,Armenia,Other Europe,CH,Switzerland,ESRA North-West,3,7
AM,Armenia,Other Europe,CY,Cyprus,ESRA Mediterranean,12,15
AM,Armenia,Other Europe,CZ,Czechia,ESRA East,148,11
AM,Armenia,Other Europe,DE,Germany,ESRA North-West,33,11
AM,Armenia,Other Europe,DK,Denmark,ESRA North-West,0,1
AM,Armenia,Other Europe,EE,Estonia,Other Europe,1,2
AM,Armenia,Other Europe,ES,Spain,ESRA Mediterranean,16,11
AM,Armenia,Other Europe,FI,Finland,ESRA North-West,2,0
AM,Armenia,Other Europe,FR,France,ESRA North-West,275,187
AM,Armenia,Other Europe,GB,United Kingdom,ESRA North-West,6,4
AM,Armenia,Other Europe,GE,Georgia,Other Europe,42,197
AM,Armenia,Other Europe,GR,Greece,ESRA Mediterranean,68,120
AM,Armenia,Other Europe,HR,Croatia,ESRA East,2,1
AM,Armenia,Other Europe,HU,Hungary,ESRA East,2,1
AM,Armenia,Other Europe,IE,Ireland,ESRA North-West,1,0
AM,Armenia,Other Europe,IT,Italy,ESRA Mediterranean,108,13
AM,Armenia,Other Europe,LT,Lithuania,Other Europe,3,4
AM,Armenia,Other Europe,LV,Latvia,Other Europe,1,2
AM,Armenia,Other Europe,MD,Moldova,ESRA East,1,1
AM,Armenia,Other Europe,MT,Malta,ESRA Mediterranean,0,4
AM,Armenia,Other Europe,NL,Netherlands,ESRA North-West,2,1
AM,Armenia,Other Europe,NO,Norway,ESRA North-West,0,1
AM,Armenia,Other Europe,PL,Poland,ESRA East,209,79
AM,Armenia,Other Europe,PT,Portugal,ESRA Mediterranean,1,0
AM,Armenia,Other Europe,RO,Romania,ESRA East,10,6
AM,Armenia,Other Europe,RS,Serbia,ESRA East,15,12
AM,Armenia,Other Europe,SE,Sweden,ESRA North-West,3,2
AM,Armenia,Other Europe,SK,Slovakia,ESRA East,1,1
AM,Armenia,Other Europe,TR,Turkey,ESRA Mediterranean,146,136
AM,Armenia,Other Europe,UA,Ukraine,ESRA East,420,409
AT,Austria,ESRA North-West,AL,Albania,ESRA East,673,672
AT,Austria,ESRA North-West,AM,Armenia,Other Europe,288,272
AT,Austria,ESRA North-West,AT,Austria,ESRA North-West,21149,19137
AT,Austria,ESRA North-West,BA,Bosnia & Herzegovina,ESRA East,706,690
AT,Austria,ESRA North-West,BE,Belgium,ESRA North-West,2704,2692
AT,Austria,ESRA North-West,BG,Bulgaria,ESRA East,2328,2272
AT,Austria,ESRA North-West,CH,Switzerland,ESRA North-West,9288,9427
AT,Austria,ESRA North-West,CY,Cyprus,ESRA Mediterranean,720,863
AT,Austria,ESRA North-West,CZ,Czechia,ESRA East,2429,2515
AT,Austria,ESRA North-West,DE,Germany,ESRA North-West,42308,41965
AT,Austria,ESRA North-West,DK,Denmark,ESRA North-West,2162,1638
AT,Austria,ESRA North-West,EE,Estonia,Other Europe,57,253
AT,Austria,ESRA North-West,ES,Spain,ESRA Mediterranean,5778,6025
AT,Austria,ESRA North-West,FI,Finland,ESRA North-West,858,868
AT,Austria,ESRA North-West,FO,Faroe Islands,ESRA North-West,0,2
AT,Austria,ESRA North-West,FR,France,ESRA North-West,6679,6660
AT,Austria,ESRA North-West,GB,United Kingdom,ESRA North-West,6984,7553
AT,Austria,ESRA North-West,GE,Georgia,Other Europe,121,128
AT,Austria,ESRA North-West,GI,Gibraltar,Other Europe,2,3
AT,Austria,ESRA North-West,GR,Greece,ESRA Mediterranean,3557,3979
AT,Austria,ESRA North-West,HR,Croatia,ESRA East,3001,3013
AT,Austria,ESRA North-West,HU,Hungary,ESRA East,1915,1828
AT,Austria,ESRA North-West,IE,Ireland,ESRA North-West,504,485
AT,Austria,ESRA North-West,IT,Italy,ESRA Mediterranean,9344,9007
AT,Austria,ESRA North-West,LT,Lithuania,Other Europe,399,406
AT,Austria,ESRA North-West,LU,Luxembourg,ESRA North-West,1080,1130
AT,Austria,ESRA North-West,LV,Latvia,Other Europe,658,644
